# DiscordGuard Scraped Raw Data
# ============================================================
# THIS FILE IS AUTO-GENERATED. DO NOT EDIT MANUALLY.
#
# Regenerate by running: python scripts/scraper.py
# Compile into JSON:     python scripts/compile-lists.py --target <profile>
# ============================================================
! BEGIN SCRAPED
! Scraped: 2026-03-07T08:22:27Z
! Source: disboard.org
! Tags scraped (hard-blocked): nsfw, adult, 18+, hentai, gore, explicit, porn, lewd, erotic, xxx, ai-girlfriend, ai-boyfriend, ai-companion, ai-roleplay, ai-chat, ai-waifu, virtual-girlfriend, virtual-companion, character-ai, replika, ai-romance, ai-dating, ai-relationship, companionship, ai-friend
! Tags scraped (teen-flagged): mature, suggestive, dating, relationship, artificial-intelligence, ai, chatgpt, claude, llm, generative-ai, ai-generated, ai-art, stable-diffusion, midjourney, ai-tools
! Total servers: 575
!
! SECTION hard-blocked
! Servers from hard-blocked tags — included in child-safe and family-safe lists
||server:1460259233105969337  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1460259816634192020  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1460261007862792257  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1460292632365240488  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1460293238928707750  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1460296377933365516  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1460476792841175187  ! name: unknown | tags: porn | source_tag: nsfw
||server:1460491616866271426  ! name: unknown | tags: porn | source_tag: nsfw
||server:1460506725290344561  ! name: unknown | tags: porn | source_tag: nsfw
||server:1460527514769293397  ! name: unknown | tags: adult, nsfw | source_tag: nsfw
||server:1460535740151763128  ! name: unknown | tags: adult | source_tag: nsfw
||server:1460539631249526820  ! name: unknown | tags: adult, nsfw | source_tag: nsfw
||server:1460542967386476704  ! name: unknown | tags: porn | source_tag: nsfw
||server:1460543918704824353  ! name: unknown | tags: adult | source_tag: nsfw
||server:1460546612794490969  ! name: unknown | tags: adult | source_tag: nsfw
